# kon = 100.000000
#              p = 0.900000
#              R = 1.000000
#              tmax  = 10000
#              teq = 0 
#              L  = 200
#              M  = 100
#              run time 4098.122822 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.861111111111106831e-02,1.366203625261993519e-03
2.000000000000000000e+00,6.349999999999990374e-02,2.031017199384960344e-03
3.000000000000000000e+00,8.477777777777767421e-02,2.045199136067888009e-03
4.000000000000000000e+00,1.029444444444443940e-01,2.615781874471725249e-03
5.000000000000000000e+00,1.154444444444443774e-01,2.906548587475877958e-03
6.000000000000000000e+00,1.301111111111110941e-01,3.402232382596049286e-03
7.000000000000000000e+00,1.433888888888888991e-01,3.478944603691694164e-03
8.000000000000000000e+00,1.533333333333332937e-01,3.410224278493956089e-03
9.000000000000000000e+00,1.637777777777777166e-01,3.975604620528231867e-03
1.000000000000000000e+01,1.741666666666666918e-01,4.165833249983329038e-03
1.100000000000000000e+01,1.869444444444442743e-01,4.237090050820896750e-03
1.200000000000000000e+01,1.959999999999998410e-01,4.599436358382927650e-03
1.300000000000000000e+01,2.034999999999999309e-01,5.025647185152340782e-03
1.400000000000000000e+01,2.101666666666665573e-01,5.106311151922384058e-03
1.500000000000000000e+01,2.145555555555554439e-01,5.115807021524706490e-03
1.600000000000000000e+01,2.249999999999998945e-01,5.357295706226288153e-03
1.700000000000000000e+01,2.314444444444444526e-01,5.290464284510293727e-03
1.800000000000000000e+01,2.393888888888888733e-01,5.358790516755542431e-03
1.900000000000000000e+01,2.473333333333332384e-01,5.494935940268489208e-03
2.000000000000000000e+01,2.500555555555554754e-01,5.623745401925573859e-03
2.100000000000000000e+01,2.598333333333333051e-01,6.140261284503721953e-03
2.200000000000000000e+01,2.702777777777778390e-01,6.612919920620785423e-03
2.300000000000000000e+01,2.742777777777776205e-01,6.464363373694312354e-03
2.400000000000000000e+01,2.801111111111111440e-01,6.866981294481979900e-03
2.500000000000000000e+01,2.883888888888889723e-01,6.845334988962272112e-03
2.600000000000000000e+01,2.949444444444443425e-01,7.092899857960899106e-03
2.700000000000000000e+01,3.013888888888889839e-01,7.249680708167109688e-03
2.800000000000000000e+01,3.093333333333333490e-01,7.458063827119119742e-03
2.900000000000000000e+01,3.146666666666667056e-01,7.977793252847881905e-03
3.000000000000000000e+01,3.222222222222222987e-01,8.028498622000054125e-03
3.100000000000000000e+01,3.255000000000000671e-01,8.423986549295766485e-03
3.200000000000000000e+01,3.258888888888889501e-01,7.745655891219618665e-03
3.300000000000000000e+01,3.325555555555556042e-01,7.867741608917474747e-03
3.400000000000000000e+01,3.361666666666666137e-01,8.006746769266560523e-03
3.500000000000000000e+01,3.419444444444442732e-01,8.203949289861395613e-03
3.600000000000000000e+01,3.447222222222223742e-01,7.853353062290506503e-03
3.700000000000000000e+01,3.503888888888890829e-01,7.835600538725102579e-03
3.800000000000000000e+01,3.527777777777778012e-01,7.957254629240404983e-03
3.900000000000000000e+01,3.544444444444445619e-01,8.025807139902725942e-03
4.000000000000000000e+01,3.566666666666665764e-01,7.996527023930104228e-03
4.100000000000000000e+01,3.597777777777778629e-01,8.008144002849246906e-03
4.200000000000000000e+01,3.635555555555554652e-01,8.428464412078808671e-03
4.300000000000000000e+01,3.685555555555556362e-01,8.689506940223796008e-03
4.400000000000000000e+01,3.747222222222222898e-01,8.909481355538680439e-03
4.500000000000000000e+01,3.806666666666665422e-01,9.120415303517818290e-03
4.600000000000000000e+01,3.842777777777777737e-01,9.211859974919878527e-03
4.700000000000000000e+01,3.877222222222219683e-01,9.364793209241292424e-03
