# kon = 1.000000
#              p = 0.500000
#              R = 1.000000
#              tmax  = 10000
#              L  = 200
#              M  = 100
#              run time 1922.627272 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.995999999999999996e-01,5.651406904479627791e-03
2.000000000000000000e+00,3.577000000000000179e-01,8.921720686056027264e-03
3.000000000000000000e+00,5.220000000000000195e-01,1.102270384252430034e-02
4.000000000000000000e+00,6.577000000000002844e-01,1.327392556857239815e-02
5.000000000000000000e+00,8.007999999999999563e-01,1.571984732750290187e-02
6.000000000000000000e+00,9.081999999999998963e-01,1.516336374291667524e-02
7.000000000000000000e+00,1.025999999999999801e+00,1.869438418349211178e-02
8.000000000000000000e+00,1.118000000000000327e+00,2.057717181733194692e-02
9.000000000000000000e+00,1.203199999999999603e+00,2.283194253671815346e-02
1.000000000000000000e+01,1.295699999999999630e+00,2.251277637254011157e-02
1.100000000000000000e+01,1.359699999999999687e+00,2.350721378641033518e-02
1.200000000000000000e+01,1.453699999999999104e+00,2.373632448379487184e-02
1.300000000000000000e+01,1.527899999999999592e+00,2.793431402415314999e-02
1.400000000000000000e+01,1.604400000000000048e+00,2.739646692549972326e-02
1.500000000000000000e+01,1.634299999999999420e+00,2.679188496541443781e-02
1.600000000000000000e+01,1.698099999999999943e+00,2.851830815458729004e-02
1.700000000000000000e+01,1.761500000000000732e+00,3.009663602464567392e-02
1.800000000000000000e+01,1.817999999999999616e+00,3.339490979176316932e-02
1.900000000000000000e+01,1.882300000000000084e+00,3.357524534534334082e-02
2.000000000000000000e+01,1.955199999999998939e+00,3.605093063986004875e-02
2.100000000000000000e+01,2.031300000000001216e+00,3.831752993082930547e-02
2.200000000000000000e+01,2.085199999999999942e+00,4.119793198693351421e-02
2.300000000000000000e+01,2.141599999999999504e+00,4.333260204511148184e-02
2.400000000000000000e+01,2.205699999999999328e+00,4.489214964779476846e-02
2.500000000000000000e+01,2.262900000000000134e+00,4.584131215399490922e-02
2.600000000000000000e+01,2.312300000000000022e+00,4.729204055652494465e-02
2.700000000000000000e+01,2.361199999999999743e+00,4.925896466634271248e-02
2.800000000000000000e+01,2.425200000000000244e+00,5.253369966031327942e-02
2.900000000000000000e+01,2.457400000000000251e+00,5.359955596831002950e-02
3.000000000000000000e+01,2.518299999999999983e+00,5.232113435314643402e-02
3.100000000000000000e+01,2.559700000000001197e+00,5.140787002006599188e-02
3.200000000000000000e+01,2.622600000000001153e+00,5.345046678935555517e-02
3.300000000000000000e+01,2.670699999999999186e+00,5.638089304010714120e-02
3.400000000000000000e+01,2.735400000000000276e+00,5.690842116945434709e-02
3.500000000000000000e+01,2.793700000000000738e+00,5.903569344049412054e-02
3.600000000000000000e+01,2.835899999999999199e+00,6.194273080838461759e-02
3.700000000000000000e+01,2.882099999999999884e+00,6.477859137091510067e-02
3.800000000000000000e+01,2.905800000000001049e+00,6.286019090012374966e-02
3.900000000000000000e+01,2.952099999999999724e+00,6.311708088940742867e-02
4.000000000000000000e+01,2.998099999999999543e+00,6.417502551616166562e-02
4.100000000000000000e+01,3.051100000000001256e+00,6.251622109500862279e-02
4.200000000000000000e+01,3.106199999999999406e+00,6.495687492482991876e-02
4.300000000000000000e+01,3.152900000000000258e+00,6.872965808150074962e-02
4.400000000000000000e+01,3.196100000000000829e+00,6.867749194605174412e-02
4.500000000000000000e+01,3.208900000000001196e+00,7.213569088876876922e-02
4.600000000000000000e+01,3.245500000000001162e+00,7.297621187757009908e-02
4.700000000000000000e+01,3.282200000000000895e+00,7.611827375867111223e-02
4.800000000000000000e+01,3.343000000000001304e+00,7.635358537750536190e-02
4.900000000000000000e+01,3.356799999999999340e+00,7.417936101099820156e-02
5.000000000000000000e+01,3.391900000000000581e+00,7.545458170316764190e-02
5.100000000000000000e+01,3.439800000000000857e+00,7.646397583176015034e-02
5.200000000000000000e+01,3.493400000000000727e+00,7.783125593230522110e-02
5.300000000000000000e+01,3.498199999999999310e+00,7.700550369941100426e-02
5.400000000000000000e+01,3.532699999999999285e+00,7.618882529610229715e-02
5.500000000000000000e+01,3.565799999999998526e+00,7.671221284775978089e-02
5.600000000000000000e+01,3.585499999999999687e+00,8.140459139385197718e-02
5.700000000000000000e+01,3.630100000000000549e+00,8.290036127786176712e-02
5.800000000000000000e+01,3.669099999999999806e+00,8.306805583375598268e-02
5.900000000000000000e+01,3.720400000000000595e+00,8.543558041003759818e-02
6.000000000000000000e+01,3.773699999999998500e+00,8.906353406417241714e-02
6.100000000000000000e+01,3.815799999999999415e+00,8.996845891755621272e-02
6.200000000000000000e+01,3.886899999999998911e+00,9.313578206038751472e-02
6.300000000000000000e+01,3.925300000000000455e+00,9.250983245039415270e-02
6.400000000000000000e+01,3.962699999999999889e+00,9.258324416437350990e-02
6.500000000000000000e+01,3.970600000000000129e+00,9.099591419399008507e-02
6.600000000000000000e+01,4.015900000000001135e+00,9.358686820275589902e-02
6.700000000000000000e+01,4.086599999999998900e+00,9.473079963771023626e-02
6.800000000000000000e+01,4.104199999999999626e+00,9.413237275241712054e-02
6.900000000000000000e+01,4.135999999999999233e+00,9.665278061183756042e-02
7.000000000000000000e+01,4.163800000000000168e+00,9.651028753454211906e-02
7.100000000000000000e+01,4.192900000000000738e+00,9.762256859968396205e-02
7.200000000000000000e+01,4.196699999999999875e+00,9.846614189659305683e-02
7.300000000000000000e+01,4.229300000000002058e+00,9.872469346622456121e-02
7.400000000000000000e+01,4.218900000000000539e+00,9.872354278488995605e-02
7.500000000000000000e+01,4.229600000000000470e+00,9.444563727351305837e-02
7.600000000000000000e+01,4.265800000000001369e+00,9.433315217886020787e-02
7.700000000000000000e+01,4.266999999999998572e+00,9.762812094883314973e-02
7.800000000000000000e+01,4.288800000000000168e+00,9.737713078541591905e-02
7.900000000000000000e+01,4.325099999999999945e+00,9.836925281814436206e-02
8.000000000000000000e+01,4.395000000000001350e+00,9.786649069012334778e-02
8.100000000000000000e+01,4.435300000000000686e+00,9.380793729743769349e-02
8.200000000000000000e+01,4.483800000000000452e+00,9.489212612224472154e-02
8.300000000000000000e+01,4.525900000000000034e+00,9.597458986627660504e-02
8.400000000000000000e+01,4.551200000000001467e+00,9.479454414680203722e-02
8.500000000000000000e+01,4.569700000000000095e+00,9.443415219082555712e-02
8.600000000000000000e+01,4.606900000000002215e+00,9.529676752125434969e-02
8.700000000000000000e+01,4.659199999999999342e+00,9.764411707829610820e-02
8.800000000000000000e+01,4.674799999999999400e+00,9.948733386718129623e-02
8.900000000000000000e+01,4.672800000000000509e+00,9.863286267771001481e-02
9.000000000000000000e+01,4.689899999999999736e+00,1.005383006619865183e-01
9.100000000000000000e+01,4.683799999999997965e+00,9.800936485867052517e-02
9.200000000000000000e+01,4.725399999999997824e+00,1.023433847398061980e-01
9.300000000000000000e+01,4.771699999999997388e+00,1.049691435613342438e-01
9.400000000000000000e+01,4.806400000000000894e+00,1.092577246697001431e-01
9.500000000000000000e+01,4.852100000000000080e+00,1.078775504912861810e-01
9.600000000000000000e+01,4.866900000000000226e+00,1.091062505083920386e-01
9.700000000000000000e+01,4.900900000000000922e+00,1.147945203396050495e-01
9.800000000000000000e+01,4.921499999999999098e+00,1.164383420527791702e-01
9.900000000000000000e+01,4.964700000000000557e+00,1.160497699265276295e-01
1.000000000000000000e+02,4.983199999999999186e+00,1.188647029189069393e-01
1.010000000000000000e+02,4.984200000000000408e+00,1.185935225887147643e-01
1.020000000000000000e+02,4.997399999999998954e+00,1.189479398728704451e-01
1.030000000000000000e+02,5.039700000000001623e+00,1.240472857421717201e-01
1.040000000000000000e+02,5.093500000000000583e+00,1.242302197534883301e-01
1.050000000000000000e+02,5.082399999999998919e+00,1.228082342516168685e-01
1.060000000000000000e+02,5.124599999999999156e+00,1.208406736161297540e-01
1.070000000000000000e+02,5.142700000000002269e+00,1.233504645309453085e-01
1.080000000000000000e+02,5.166199999999999903e+00,1.252199488899432278e-01
