# kon = 100.000000
#              p = 0.100000
#              R = 1.000000
#              tmax  = 2000
#              L  = 200
#              M  = 10
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.910000000000000031e-01,1.835483587504938355e-02
2.000000000000000000e+00,3.710000000000000520e-01,3.667287826173451504e-02
3.000000000000000000e+00,4.970000000000000528e-01,2.912215651355510443e-02
4.000000000000000000e+00,5.850000000000000755e-01,2.899137802864844987e-02
5.000000000000000000e+00,6.939999999999999503e-01,5.596784791288656608e-02
6.000000000000000000e+00,8.039999999999999369e-01,7.830964180737898239e-02
7.000000000000000000e+00,8.529999999999999805e-01,6.779454255321736011e-02
8.000000000000000000e+00,9.109999999999999210e-01,5.910076141641492503e-02
9.000000000000000000e+00,9.929999999999999938e-01,8.902864707497244734e-02
1.000000000000000000e+01,1.116000000000000103e+00,8.980200443197244864e-02
1.100000000000000000e+01,1.181999999999999940e+00,1.001279181846901206e-01
1.200000000000000000e+01,1.271999999999999797e+00,1.175738066067438109e-01
1.300000000000000000e+01,1.303999999999999826e+00,1.164061854026666176e-01
1.400000000000000000e+01,1.370000000000000107e+00,9.887365675446621593e-02
1.500000000000000000e+01,1.419999999999999929e+00,9.986991538997114226e-02
1.600000000000000000e+01,1.516999999999999904e+00,1.045375530610890280e-01
1.700000000000000000e+01,1.542000000000000037e+00,9.807955954224101269e-02
1.800000000000000000e+01,1.608999999999999986e+00,1.151993923595085734e-01
1.900000000000000000e+01,1.678999999999999826e+00,1.364071112515766182e-01
2.000000000000000000e+01,1.718999999999999861e+00,1.451995179055357577e-01
2.100000000000000000e+01,1.769000000000000128e+00,1.483404867188994891e-01
2.200000000000000000e+01,1.814999999999999947e+00,1.623283709029324229e-01
2.300000000000000000e+01,1.866000000000000103e+00,1.644335732142313822e-01
2.400000000000000000e+01,1.945999999999999730e+00,1.781976430820565171e-01
2.500000000000000000e+01,1.998999999999999888e+00,1.625019999876924359e-01
2.600000000000000000e+01,1.951999999999999957e+00,1.692087468188332167e-01
2.700000000000000000e+01,2.036000000000000032e+00,1.813460779835064096e-01
2.800000000000000000e+01,2.097999999999999865e+00,1.795873046737992418e-01
2.900000000000000000e+01,2.187000000000000277e+00,1.961124677321663123e-01
3.000000000000000000e+01,2.080000000000000515e+00,1.965909458749308392e-01
3.100000000000000000e+01,2.171999999999999709e+00,2.075225288974669458e-01
3.200000000000000000e+01,2.221000000000000085e+00,1.960941100594303654e-01
3.300000000000000000e+01,2.306000000000000050e+00,1.908622539948640340e-01
3.400000000000000000e+01,2.441999999999999726e+00,2.172362768968387758e-01
3.500000000000000000e+01,2.407000000000000028e+00,1.816758101674518511e-01
3.600000000000000000e+01,2.385000000000000231e+00,1.692409524908200236e-01
3.700000000000000000e+01,2.406000000000000139e+00,1.759784077664075241e-01
3.800000000000000000e+01,2.448000000000000398e+00,1.464158461369533260e-01
3.900000000000000000e+01,2.439999999999999503e+00,1.341044369139216819e-01
4.000000000000000000e+01,2.498000000000000220e+00,1.182353585015920722e-01
4.100000000000000000e+01,2.504000000000000004e+00,9.634521264702257393e-02
4.200000000000000000e+01,2.569999999999999840e+00,1.072567014223353710e-01
4.300000000000000000e+01,2.593999999999999861e+00,9.497578638789994088e-02
4.400000000000000000e+01,2.584000000000000075e+00,9.649041403165393993e-02
4.500000000000000000e+01,2.665000000000000036e+00,1.127940601272957449e-01
4.600000000000000000e+01,2.662000000000000366e+00,1.178711160547824960e-01
4.700000000000000000e+01,2.778000000000000025e+00,1.354680774204757021e-01
4.800000000000000000e+01,2.798999999999999932e+00,1.659906623879789100e-01
4.900000000000000000e+01,2.893999999999999684e+00,1.603134429796827520e-01
5.000000000000000000e+01,2.914000000000000146e+00,1.709456053837009326e-01
5.100000000000000000e+01,3.046999999999999709e+00,1.508910202762245301e-01
5.200000000000000000e+01,3.132000000000000117e+00,1.296826896698244636e-01
5.300000000000000000e+01,3.072999999999999954e+00,1.455613272816650150e-01
5.400000000000000000e+01,3.154000000000000359e+00,1.501612466650433797e-01
5.500000000000000000e+01,3.147999999999999687e+00,1.548276461101182055e-01
5.600000000000000000e+01,3.229000000000000092e+00,1.407511989291743149e-01
5.700000000000000000e+01,3.252000000000000224e+00,1.503981382863497918e-01
5.800000000000000000e+01,3.274000000000000021e+00,1.422125170299717301e-01
5.900000000000000000e+01,3.141000000000000014e+00,1.226658061564020324e-01
6.000000000000000000e+01,3.290000000000000480e+00,1.175670021732288378e-01
6.100000000000000000e+01,3.328000000000000291e+00,1.160155162036526910e-01
6.200000000000000000e+01,3.312000000000000277e+00,1.384109822232325870e-01
6.300000000000000000e+01,3.422999999999999599e+00,1.688730292261022836e-01
6.400000000000000000e+01,3.523000000000000576e+00,1.795998329620603629e-01
6.500000000000000000e+01,3.531000000000000139e+00,1.992558656602108347e-01
6.600000000000000000e+01,3.556000000000000050e+00,1.984298364661927494e-01
6.700000000000000000e+01,3.668999999999999595e+00,2.104302734874428649e-01
6.800000000000000000e+01,3.578999999999999737e+00,2.204334366651302668e-01
6.900000000000000000e+01,3.588999999999999968e+00,1.947996406567527317e-01
7.000000000000000000e+01,3.561999999999999833e+00,2.223411792718568980e-01
7.100000000000000000e+01,3.697999999999999510e+00,2.012103377065899701e-01
7.200000000000000000e+01,3.690000000000000391e+00,2.343501653509123817e-01
7.300000000000000000e+01,3.747999999999999776e+00,2.038568124934754255e-01
7.400000000000000000e+01,3.706999999999999851e+00,2.155831626078437424e-01
7.500000000000000000e+01,3.726999999999999424e+00,2.430392972340069679e-01
7.600000000000000000e+01,3.713999999999999968e+00,2.437260757489849994e-01
7.700000000000000000e+01,3.703000000000000291e+00,2.250557708658011968e-01
7.800000000000000000e+01,3.738999999999999879e+00,2.037226055203496256e-01
7.900000000000000000e+01,3.734000000000000430e+00,1.844461981174997933e-01
8.000000000000000000e+01,3.712000000000000632e+00,1.648866277173501316e-01
8.100000000000000000e+01,3.806000000000000050e+00,1.791323533033605808e-01
8.200000000000000000e+01,3.825999999999999623e+00,2.100295217344457233e-01
8.300000000000000000e+01,3.861999999999999655e+00,2.134094655820120701e-01
8.400000000000000000e+01,3.836999999999999744e+00,2.200002272726098440e-01
8.500000000000000000e+01,3.864999999999999769e+00,2.221362194690456038e-01
8.600000000000000000e+01,3.871999999999999886e+00,2.364563384644192412e-01
8.700000000000000000e+01,3.946999999999999176e+00,2.049295000725859239e-01
8.800000000000000000e+01,3.908000000000000362e+00,2.053864649873501091e-01
8.900000000000000000e+01,3.915999999999999481e+00,2.130032863596240666e-01
9.000000000000000000e+01,3.948000000000000398e+00,1.947500962772547584e-01
9.100000000000000000e+01,3.942000000000000171e+00,1.802598124929680468e-01
9.200000000000000000e+01,3.954999999999999183e+00,2.009589510322941364e-01
9.300000000000000000e+01,3.834999999999999964e+00,1.913282519650456315e-01
9.400000000000000000e+01,3.862999999999998657e+00,2.202591655300636941e-01
9.500000000000000000e+01,3.945000000000001172e+00,1.982435370951597942e-01
9.600000000000000000e+01,3.947999999999999510e+00,1.527992146576676591e-01
9.700000000000000000e+01,3.941000000000000281e+00,1.476580509149433007e-01
9.800000000000000000e+01,4.063000000000000611e+00,1.075736956695269170e-01
9.900000000000000000e+01,4.020999999999999908e+00,1.122715458163821706e-01
1.000000000000000000e+02,4.195999999999999730e+00,1.371583027016592959e-01
1.010000000000000000e+02,4.190999999999999837e+00,1.103761749654335739e-01
1.020000000000000000e+02,4.240000000000000213e+00,1.094074951728628009e-01
1.030000000000000000e+02,4.221999999999999531e+00,1.134178116523149871e-01
1.040000000000000000e+02,4.272000000000000242e+00,9.217157913370041533e-02
1.050000000000000000e+02,4.266000000000000014e+00,9.779775048537669990e-02
1.060000000000000000e+02,4.306999999999999496e+00,1.295534638672390104e-01
1.070000000000000000e+02,4.290000000000000924e+00,1.343800580443392512e-01
1.080000000000000000e+02,4.344000000000000306e+00,1.527887430408405856e-01
1.090000000000000000e+02,4.337999999999999190e+00,1.509092442496482722e-01
1.100000000000000000e+02,4.418999999999999595e+00,1.677405735056369529e-01
1.110000000000000000e+02,4.430000000000000604e+00,1.433178286187730133e-01
1.120000000000000000e+02,4.450999999999998735e+00,1.267947159782299438e-01
1.130000000000000000e+02,4.477999999999999758e+00,1.299830758214314819e-01
1.140000000000000000e+02,4.460000000000000853e+00,1.582150435325288540e-01
1.150000000000000000e+02,4.511999999999999567e+00,1.793421311348785685e-01
1.160000000000000000e+02,4.609999999999999432e+00,1.718836815989230882e-01
1.170000000000000000e+02,4.439000000000000057e+00,1.614834356830445738e-01
1.180000000000000000e+02,4.580999999999999517e+00,1.915121406073254096e-01
1.190000000000000000e+02,4.516000000000000014e+00,1.810701521510378609e-01
1.200000000000000000e+02,4.452999999999998515e+00,1.682085015687375118e-01
1.210000000000000000e+02,4.440999999999999837e+00,1.793569067529879046e-01
1.220000000000000000e+02,4.374000000000000554e+00,1.834240987438673365e-01
1.230000000000000000e+02,4.349000000000000199e+00,1.472715179523861606e-01
1.240000000000000000e+02,4.384000000000000341e+00,1.396724740240538609e-01
1.250000000000000000e+02,4.483000000000000540e+00,1.216885368471492257e-01
1.260000000000000000e+02,4.366999999999999993e+00,1.131905473085097757e-01
1.270000000000000000e+02,4.508999999999999453e+00,1.619842584944598540e-01
1.280000000000000000e+02,4.607000000000000206e+00,1.861776033791390228e-01
1.290000000000000000e+02,4.689000000000000057e+00,2.213524339147865949e-01
1.300000000000000000e+02,4.722000000000000419e+00,1.924411598385335487e-01
1.310000000000000000e+02,4.770000000000000462e+00,1.935045219109879089e-01
1.320000000000000000e+02,4.718999999999999417e+00,2.091528149463927067e-01
1.330000000000000000e+02,4.726999999999999424e+00,2.228409746882291653e-01
1.340000000000000000e+02,4.758000000000000007e+00,2.405568539867446454e-01
1.350000000000000000e+02,4.725999999999999979e+00,2.217214468652051740e-01
1.360000000000000000e+02,4.723999999999999311e+00,1.996306589680052201e-01
1.370000000000000000e+02,4.771999999999999353e+00,2.007077477328665649e-01
1.380000000000000000e+02,4.897999999999998799e+00,1.875195989756804071e-01
1.390000000000000000e+02,4.983999999999999986e+00,1.861354345631159035e-01
1.400000000000000000e+02,5.080000000000000071e+00,1.909659655540745793e-01
1.410000000000000000e+02,5.126999999999998892e+00,2.017872642165505492e-01
1.420000000000000000e+02,5.087999999999999190e+00,2.103130999248501443e-01
1.430000000000000000e+02,5.011000000000001009e+00,1.639966463071730052e-01
1.440000000000000000e+02,5.016000000000000014e+00,1.574687270539772976e-01
1.450000000000000000e+02,5.073999999999999844e+00,2.039470519522162406e-01
1.460000000000000000e+02,4.916999999999999815e+00,1.780789150910348506e-01
1.470000000000000000e+02,5.044999999999999041e+00,1.832552864176092422e-01
1.480000000000000000e+02,5.173000000000000043e+00,1.886904873065942401e-01
1.490000000000000000e+02,5.159999999999999254e+00,1.773358395812870691e-01
1.500000000000000000e+02,5.200999999999999623e+00,1.626311778227040594e-01
1.510000000000000000e+02,5.141000000000000014e+00,1.517659382074910135e-01
1.520000000000000000e+02,5.197999999999999510e+00,1.947398264351696551e-01
1.530000000000000000e+02,5.233999999999999986e+00,1.946545658339408069e-01
1.540000000000000000e+02,5.243999999999999773e+00,2.340905807588164467e-01
1.550000000000000000e+02,5.283000000000001251e+00,2.371330849965900267e-01
1.560000000000000000e+02,5.267000000000001236e+00,2.192717492063216422e-01
1.570000000000000000e+02,5.265000000000000568e+00,2.181983043013853985e-01
1.580000000000000000e+02,5.237000000000000099e+00,2.138740283437892131e-01
1.590000000000000000e+02,5.279999999999999361e+00,1.986504467651658556e-01
1.600000000000000000e+02,5.280000000000000249e+00,2.243613157386986356e-01
1.610000000000000000e+02,5.402999999999999581e+00,2.421076206979036471e-01
1.620000000000000000e+02,5.376000000000000334e+00,2.536422677709690432e-01
1.630000000000000000e+02,5.264000000000000234e+00,2.489465806151994198e-01
1.640000000000000000e+02,5.265000000000000568e+00,2.596006548527949875e-01
1.650000000000000000e+02,5.294999999999999929e+00,2.941776674052603013e-01
1.660000000000000000e+02,5.259000000000000341e+00,2.994309603230768113e-01
1.670000000000000000e+02,5.386999999999999567e+00,3.205403250762686729e-01
1.680000000000000000e+02,5.430999999999999162e+00,3.515947951833188756e-01
1.690000000000000000e+02,5.536999999999999922e+00,3.661558411387151879e-01
1.700000000000000000e+02,5.435000000000000497e+00,3.235807472641102356e-01
1.710000000000000000e+02,5.631999999999999673e+00,3.429775502857293490e-01
1.720000000000000000e+02,5.642000000000000348e+00,3.286633536006106082e-01
1.730000000000000000e+02,5.701000000000000512e+00,2.967033872405234196e-01
1.740000000000000000e+02,5.735999999999999766e+00,2.837717392553387730e-01
1.750000000000000000e+02,5.756999999999999673e+00,3.136145723655072715e-01
1.760000000000000000e+02,5.919000000000001371e+00,2.725342180350937560e-01
1.770000000000000000e+02,5.998999999999999666e+00,2.935794611344600957e-01
1.780000000000000000e+02,6.107000000000000206e+00,3.067965123660958970e-01
1.790000000000000000e+02,6.147999999999999687e+00,2.998326199732109232e-01
1.800000000000000000e+02,6.088000000000000078e+00,3.102250795793273785e-01
1.810000000000000000e+02,6.173999999999999488e+00,3.385445317827479039e-01
1.820000000000000000e+02,6.185999999999999055e+00,3.838364234931333496e-01
1.830000000000000000e+02,6.379000000000000448e+00,3.661760505549208067e-01
1.840000000000000000e+02,6.507000000000000561e+00,3.611206169689014644e-01
1.850000000000000000e+02,6.531000000000000583e+00,3.453446104979777109e-01
1.860000000000000000e+02,6.566000000000000725e+00,3.416641625924497494e-01
1.870000000000000000e+02,6.580000000000000071e+00,3.266496594212214832e-01
